BV,param_final,temps_calibration,NSE_calibration,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
J3323020,[112.96242688  -4.77591903 752.41785487   1.45728255],1.2206950187683105,0.29616425962922277,1997-01-30,2005-01-18,2008-03-25,2012-12-31,0.8629276693530907,0.29039275380520213,True
J5704810,[242.25720686  -2.97339665 528.47737788   1.06606607],0.5801644325256348,0.45891159422840455,1997-01-30,2005-02-10,2008-04-08,2012-12-31,0.8986651608329661,0.24626617946470902,True
J7103010,[ 3.33619126e+02 -2.94081960e-01  6.21779229e+01  2.14939940e+00],0.4346306324005127,0.34650817841214704,1997-01-30,2005-01-27,2008-03-30,2012-12-31,0.7975526675639073,0.20985977711300682,True
J8502310,[303.29445422  -0.72019812 150.22705261   2.36411411],0.44637489318847656,0.26826466296051343,1997-01-30,2004-10-09,2008-03-05,2012-12-31,0.9183552165235985,0.21167612267486832,True
J8632410,[267.73561971  -0.6604918   68.03348429   2.06156156],0.3793215751647949,0.3767327565276477,1997-01-30,2005-01-04,2008-04-03,2012-12-31,0.9135875713863062,0.1658333484012584,True
K1284810,[208.51271029   0.54375355 164.0219073    1.31006006],0.4565427303314209,0.7366054277808205,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8930319264089146,0.4569716818375697,True
K1321810,[242.25720686  -1.06997773  77.47846293   1.90540541],0.4191761016845703,0.3866972351534806,1997-01-30,2005-02-15,2008-04-02,2012-12-31,0.942810814625971,0.19980315752280345,True
K1724210,[266.88412983  -1.56353018  71.24658696   1.32378843],0.4531533718109131,0.661090144423023,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.8704524894051231,0.3215592263954807,True
K1753110,[262.8901036   -1.66670381  72.17890395   1.80218028],0.4959285259246826,0.42014381223096736,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.8972166905580073,0.24465312538972975,True
K1764020,[198.34342541  -0.68459423  24.28842744   2.32507508],0.4210836887359619,0.5612598009683796,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.9021409585922234,0.2558423461620627,True
K2644010,[317.34832892  -2.82019627  40.44730436   1.22222222],0.34401869773864746,0.4423558798979988,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.6978115996443669,0.26520418224677,True
K3373010,[175.91483748  -0.64854026  36.59823444   1.28078078],0.32547903060913086,0.47087324912209516,1997-01-30,2005-01-01,2008-06-28,2012-12-31,0.7944132588186793,0.17722888028991823,True
K3553010,[190.55062965  -0.77867611  15.42305659   2.20773173],0.41266775131225586,0.8045862412924788,1997-01-30,2005-11-26,2008-09-29,2012-12-31,0.7839013230323755,0.16428535584073192,True
K4013010,[214.8628677   -0.74606973  27.11263892   1.81756757],0.38230347633361816,0.4840740625522895,1997-01-30,2005-01-09,2008-04-10,2012-12-31,0.8260186259995749,0.14097424018647403,True
K5653010,[254.67799946  -1.09948432  51.93536683   2.66666667],0.5056033134460449,0.23998360754846024,1997-01-30,2005-01-29,2008-04-01,2012-12-31,0.8914838170898518,0.09573187101153549,True
K6373020,[340.35867907  -0.82231673  36.96605281   2.09084084],0.3838367462158203,0.36474655353936875,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9179714316483487,0.11155979054038168,True
L0813010,[357.80924171  -0.36782654  75.18862829   1.35885886],0.40537428855895996,0.36697994077230983,1997-01-30,2005-01-05,2008-03-10,2012-12-31,0.9273199971026899,0.1713733779577992,True
L0914020,[307.96926838  -0.61307003  48.91088652   1.24174174],0.45026350021362305,0.45873219177851154,1997-01-30,2005-02-15,2008-04-04,2012-12-31,0.8418449945626885,0.22118806806064983,True
L5223020,[407.48332027  -1.23788117  90.92181851   1.26126126],0.4275240898132324,0.3789003058889268,1997-01-30,2005-03-21,2008-04-27,2012-12-31,0.9298838416947721,0.1499668030104018,True
M0134010,[2.91814301e+02 1.05068474e-01 7.80639172e+01 1.38649742e+00],0.33809471130371094,0.37319198574249896,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8958348556983751,0.17136426386036516,True
M0416010,[ 8.20570639e+02 -9.01215492e-02  2.15419027e+01  1.24174174e+00],0.3446478843688965,0.3358809415828132,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.5484774133757634,0.1701694303662282,True
M0424810,[ 2.83557495e+03 -4.21583767e-01  4.60625382e+01  1.29054054e+00],0.5477733612060547,0.1669327856603897,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.6067684147503171,0.0701748648295362,True
M0566220,[219.20338555  -1.9043015   51.93536683   1.22222222],0.41222262382507324,0.4945616125958431,1997-01-30,2004-12-24,2008-03-20,2012-12-31,0.8245789544036742,0.16347680216595203,True
M1041610,[208.51271029  -2.17675665  20.69723259   2.2957958 ],0.31960010528564453,0.24552672822718383,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.7901806968510815,0.08290185686618866,True
M1254010,[207.30174346  -0.930497    19.10600982   1.53942801],0.393068790435791,0.38239967297417254,1997-01-30,2005-01-08,2008-03-13,2012-12-31,0.7089407450134697,0.1740800114753427,True
M3014010,[144.02688737  -1.54597878  81.45086866   1.3003003 ],0.3366966247558594,0.47457289559646604,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.9010929371156121,0.1823379687485233,True
M3514010,[214.33245861  -1.00812341  35.16934428   1.4587139 ],0.44935178756713867,0.4304089218426614,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.8706278487401956,0.1660433868671855,True
M7453010,[205.84661718  -0.48073928  23.09540047   1.578569  ],0.42511725425720215,0.5274064627571642,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8862559759129572,0.18464827651049454,True
N2024010,[210.60829787  -0.92863473  27.11263892   1.67117117],0.38051605224609375,0.6219343246873786,1997-01-30,2005-02-20,2008-04-06,2012-12-31,0.7574221718837957,0.2544297369888446,True
O0794010,[275.88938323  -0.29408196  32.13674244   1.22222222],0.41622257232666016,0.4889455351526989,1997-01-30,2004-10-12,2007-12-17,2012-12-31,0.8108906022168841,0.2154081768391932,True
O3454310,[ 2.91129370e+02 -1.48438318e-01  1.37973900e+02  1.13670198e+00],0.4375944137573242,0.7350890103382787,1997-01-30,2004-11-12,2007-12-25,2012-12-31,0.8067459786018165,0.2642514952794005,True
O5192520,[270.42640743  -1.50946136  59.7398917    2.1006006 ],0.37021470069885254,0.40799051807129544,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.914585102016886,0.15782531408675163,True
O5424010,[354.24898027  -2.03686163  88.23467268   1.18318318],0.41520237922668457,0.5067266068182995,1997-01-30,2005-01-14,2008-03-24,2012-12-31,0.8770347658760088,0.19500468628092443,True
O7944020,[165.67035487  -0.77117353  29.37077111   1.3490991 ],0.36312270164489746,1.0835343908356247,1997-01-30,2005-01-09,2008-03-27,2012-12-31,0.49920054625250454,0.3232548197009694,True
O8344020,[1058.01727591  -12.97989303  134.77198816    1.40070702],0.572180986404419,0.14616499870131552,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.6373029423118111,0.04814055113232955,True
O8394310,[1022.49397962   -4.45710517   81.45086866    1.3003003 ],0.3782012462615967,0.15966446012595129,1997-01-30,2005-01-16,2008-03-25,2012-12-31,0.7464687673997751,0.08588243376557217,True
P3322510,[ 94.36496678   2.97244088 205.41994932   1.26584257],0.4996473789215088,1.1132749155803636,1997-01-30,2005-01-05,2008-03-11,2012-12-31,0.8570519946918351,0.8650237233153955,True
P6161510,[399.41460993  -0.96999931  65.36585321   1.38813814],0.35161685943603516,0.37416211761069756,1997-03-12,2005-03-04,2008-04-21,2012-12-31,0.9240900189096338,0.17160000058249325,True
P6222510,[445.85777008  -2.73168475  55.14687056   1.13438438],0.4138205051422119,0.6215474380492474,1997-01-30,2005-01-07,2008-03-13,2012-12-31,0.833964083199614,0.1841585034188255,True
Q0214010,[788.39560446  -1.30254201  56.26091125   1.03678679],0.47991347312927246,0.5944096101905276,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8626075327799219,0.30533810439518266,True
Q0522520,[4.50338715e+02 1.00001667e-02 4.20979902e+01 1.06606607e+00],0.4205195903778076,0.8155166597160418,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.7691108918848091,0.4283945199585614,True
Q2593310,[776.57669438  -1.19502251  63.90931777   2.90096344],0.4472951889038086,0.24736517972903171,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.837674995248382,0.12860467032823852,True
Q3224010,[265.07160579  -0.42158377  33.44826778   1.31981982],0.4782543182373047,0.6313541236200955,1997-01-30,2005-01-13,2008-03-22,2012-12-31,0.894585032788505,0.3063305926088148,True
S1205110,[305.39100369 -14.2949665  110.34810973   1.35148561],0.5615320205688477,0.22245199510063446,1997-01-30,2004-08-12,2007-08-18,2012-12-31,0.5870118862738971,0.09680282715687764,True
S4214010,[ 2.98243286e+03 -7.98722266e+00  4.09291733e+02  1.02025988e+00],0.5819778442382812,0.32085584500922965,1997-01-30,2005-01-23,2008-03-29,2012-12-31,0.45819506804058796,0.22585636040244342,True
U0020010,[198.34342541  -1.50946136  41.26439411   1.33933934],0.30574798583984375,0.7380800558288927,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.7384572695045809,0.2880262455151208,True
U0444310,[ 2.84291466e+02 -3.00045002e-02  8.64875091e+01  1.30030030e+00],0.3993642330169678,0.8619128173950912,1997-01-30,2005-03-21,2008-04-26,2012-12-31,0.8536874019633002,0.48583993602223047,True
U0474010,[361.40528437  -0.77117353  83.09628536   2.12012012],0.30780911445617676,0.6121149170112045,1997-01-30,2005-01-14,2008-03-22,2012-12-31,0.9055782688394585,0.3141337994107493,True
U0704010,[263.61950802  -1.34404155  31.30687701   1.40246464],0.4466822147369385,0.4377763064103553,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.8420076185273444,0.23819485665505397,True
U0820010,[1461.00864184    1.75426013   42.89570696    3.2951146 ],0.8007261753082275,0.8645102859906083,1997-01-30,2004-07-06,2007-06-28,2012-12-31,0.6098112326479707,0.45597852552114065,True
U1084010,[314.19066029  -0.88810598  70.80998345   3.46696697],0.40715813636779785,0.5281088715678168,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8856556285187439,0.3462862332904386,True
U1415040,[283.60086142  -1.50262267  55.548404     1.6398179 ],0.49303102493286133,0.24303598868664128,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.8894200591655834,0.12769292302828636,True
U3404030,[320.53773265  -4.64343639  60.3402876    1.48573574],0.3558049201965332,0.9249935052161671,1997-01-30,2005-01-19,2008-03-26,2012-12-31,0.8131128679763017,0.4068493536228635,True
U3415030,[242.25720686  -0.78384048  37.71281662   2.54954955],0.4512152671813965,0.7596260347831991,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.8837198240000281,0.31455142163541355,True
V3225420,[ 2.18072988e+04 -1.49089267e-01  1.53093849e+01  9.72220652e-01],0.7497274875640869,0.36928691480557096,1997-01-30,2005-01-12,2008-03-19,2012-12-31,0.3198165704276943,0.25540674898273125,True
V4034020,[692.28657804  -7.947986   103.54434758   1.06606607],0.474714994430542,0.26062107772012044,1997-01-30,2005-01-13,2008-03-20,2012-12-31,0.853265610265881,0.13761091410896678,True
V5064010,[ 2.42593103e+02 -1.00767583e-01  1.42330860e+02  1.35498627e+00],0.6170976161956787,1.3763776463024358,1997-01-30,2005-01-03,2008-03-29,2012-12-31,0.8817823590698464,0.6179284561390549,True
W3534020,[517.41625637  -3.03126539  31.10928093   1.18976728],0.5396149158477783,0.5547308336123983,1997-04-24,2005-02-26,2008-04-18,2012-12-31,0.7322501145207599,0.21146885898779438,True
Y0655010,[123.52217853 -10.87158006  99.61235608   1.05657539],0.9632329940795898,0.4064256730005372,1997-01-30,2003-12-05,2008-11-24,2012-12-31,0.8296856978004353,0.18952403171966362,True
Y4515420,[346.73429555 -44.84322284  30.77616083   1.7533127 ],0.604968786239624,0.3243705344015207,1997-01-30,2004-06-06,2008-02-28,2012-12-31,0.3986120317823142,0.2628990515658218,True
Y5312010,[432.68068157  -4.36663236  79.83803341   1.35885886],0.3411095142364502,0.388973059804562,1997-01-30,2004-12-16,2008-04-07,2012-12-31,0.8713673642402269,0.24024497176416956,True
Y5312010,[432.68068157  -4.36663236  79.83803341   1.35885886],0.33655238151550293,0.388973059804562,1997-01-30,2004-12-16,2008-04-07,2012-12-31,0.8713673642402269,0.24024497176416956,True
Y5312010,[432.68068157  -4.36663236  79.83803341   1.35885886],0.3155698776245117,0.388973059804562,1997-01-30,2004-12-16,2008-04-07,2012-12-31,0.8713673642402269,0.24024497176416956,True
Y5312010,[432.68068157  -4.36663236  79.83803341   1.35885886],0.3426070213317871,0.388973059804562,1997-01-30,2004-12-16,2008-04-07,2012-12-31,0.8713673642402269,0.24024497176416956,True
