BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
K2644010,90,1997-03-31,2005-02-14,2008-04-10,2012-12-31,0.9020561,0.13425568,0.3684041,0.42385632,0.53077865,0.347017,True,221,NSE,338.0744686126709,Fabio
K5653010,90,1997-03-31,2005-02-28,2008-04-19,2012-12-31,0.9305741,0.09342986,0.78574264,0.14085972,0.7107382,0.1462943,True,139,MAE,212.55942606925964,Fabio
K5653010,90,1997-03-31,2005-02-28,2008-04-19,2012-12-31,0.9591376,0.08677652,0.7849949,0.13725464,0.85438645,0.104898155,True,154,NSE,237.5830795764923,Fabio
L5223020,90,1997-03-31,2005-04-20,2008-05-15,2012-12-31,0.96742934,0.10149711,0.9235699,0.2123473,0.861592,0.18870662,True,252,MAE,377.4109666347504,Fabio
L5223020,90,1997-03-31,2005-04-20,2008-05-15,2012-12-31,0.9651273,0.1291488,0.9180084,0.21083283,0.88536036,0.17124525,True,161,NSE,242.88645029067996,Fabio
M0566220,90,1997-03-31,2005-01-23,2008-04-07,2012-12-31,0.8564178,0.19688322,0.71199775,0.28599367,0.71958137,0.20073538,True,143,MAE,219.0579171180725,Fabio
M0566220,90,1997-03-31,2005-01-23,2008-04-07,2012-12-31,0.9593539,0.13245706,0.7115326,0.30020633,0.77525645,0.22227477,True,234,NSE,357.2581903934479,Fabio
M3514010,90,1997-03-31,2005-02-15,2008-04-11,2012-12-31,0.9706708,0.08075704,0.7804654,0.1773788,0.8426431,0.16001633,True,304,MAE,462.8219125270844,Fabio
M3514010,90,1997-03-31,2005-02-15,2008-04-11,2012-12-31,0.98099166,0.08739611,0.75384766,0.1589903,0.81414247,0.16390234,True,353,NSE,536.1539530754089,Fabio
O3454310,90,1997-03-31,2004-12-12,2008-01-12,2012-12-31,0.8254785,0.2332358,0.37108523,0.5012706,0.64427394,0.27710885,True,112,MAE,169.952401638031,Fabio
O3454310,90,1997-03-31,2004-12-12,2008-01-12,2012-12-31,0.87027097,0.29454988,0.3585077,0.55150115,0.28897297,0.3819653,True,119,NSE,180.31414771080017,Fabio
O8344020,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.8487498,0.0432879,-2.4283545,0.1298866,0.22906023,0.07667139,True,108,MAE,167.5474672317505,Fabio
O8344020,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.91162694,0.052987255,-4.057323,0.1569522,-0.41279745,0.1036077,True,112,NSE,170.74148964881897,Fabio
P6161510,90,1997-03-31,2005-03-13,2008-04-27,2012-12-31,0.95877045,0.12952417,0.81447446,0.29181284,0.86287,0.2032725,True,257,MAE,389.3636794090271,Fabio
P6161510,90,1997-03-31,2005-03-13,2008-04-27,2012-12-31,0.9635892,0.14181185,0.86911273,0.23038046,0.8729265,0.2126805,True,198,NSE,301.2247099876404,Fabio
Q2593310,90,1997-03-31,2005-02-14,2008-04-10,2012-12-31,0.9557837,0.08384631,0.19046372,0.19585538,0.7584568,0.14077015,True,117,MAE,181.05436635017395,Fabio
Q2593310,90,1997-03-31,2005-02-14,2008-04-10,2012-12-31,0.935886,0.11318292,0.26696998,0.17458794,0.7622161,0.13795154,True,116,NSE,187.45412683486936,Fabio
U0020010,90,1997-03-31,2005-02-14,2008-04-11,2012-12-31,0.88994277,0.20591764,0.68337446,0.2856798,0.70894706,0.24279928,True,192,MAE,295.0764157772064,Fabio
U0020010,90,1997-03-31,2005-02-14,2008-04-11,2012-12-31,0.91597414,0.25062734,0.66948533,0.33990192,0.6956083,0.28984103,True,155,NSE,238.30789923667908,Fabio
U0820010,90,1997-03-31,2004-08-05,2007-07-16,2012-12-31,0.9785864,0.09531873,0.7019011,0.17993301,0.9133466,0.14601561,True,350,MAE,498.913316488266,Fabio
U0820010,90,1997-03-31,2004-08-05,2007-07-16,2012-12-31,0.9741655,0.12694742,0.6910814,0.19229254,0.8785527,0.18811293,True,285,NSE,406.547975063324,Fabio
U3415030,90,1997-03-31,2005-02-15,2008-04-11,2012-12-31,0.9553846,0.18140039,0.8154818,0.32156196,0.8148219,0.291694,True,198,MAE,304.195764541626,Fabio
U3415030,90,1997-03-31,2005-02-15,2008-04-11,2012-12-31,0.9768842,0.17138496,0.83821857,0.31065398,0.7967423,0.29709148,True,303,NSE,463.07294178009033,Fabio
W3534020,90,1997-04-24,2005-02-26,2008-04-18,2012-12-31,0.76478213,0.13446368,0.40724117,0.16491984,0.6572627,0.21000518,True,161,MAE,247.41040658950809,Fabio
W3534020,90,1997-04-24,2005-02-26,2008-04-18,2012-12-31,0.79903316,0.18591629,0.33036113,0.19115992,0.5652315,0.25403965,True,123,NSE,188.83539247512817,Fabio
