BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
U0444310,15,1997-01-15,2005-03-14,2008-04-22,2012-12-31,0.7143884,0.6209602,True
U0444310,30,1997-01-30,2005-03-21,2008-04-26,2012-12-31,0.8008487,0.47841728,True
U1084010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.794649,0.46721533,True
U1084010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.80037814,0.41793862,True
U1084010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8390993,0.36320648,True
V3225420,7,1997-01-07,2005-01-01,2008-03-12,2012-12-31,0.70419633,0.15759698,True
V3225420,15,1997-01-15,2005-01-05,2008-03-14,2012-12-31,0.6185485,0.1329451,True
V3225420,30,1997-01-30,2005-01-12,2008-03-19,2012-12-31,0.62890255,0.1459774,True
Y0655010,7,1997-01-07,2003-11-23,2008-11-17,2012-12-31,0.60672194,0.29771385,True
Y0655010,15,1997-01-15,2003-11-27,2008-11-19,2012-12-31,0.8038722,0.22976044,True
Y0655010,30,1997-01-30,2003-12-05,2008-11-24,2012-12-31,0.7623377,0.23402104,True
