BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
S4214010,15,1997-01-15,2005-01-15,2008-03-25,2012-12-31,-0.14496875,0.24941689,True
S4214010,30,1997-01-30,2005-01-23,2008-03-29,2012-12-31,-0.29999316,0.24743834,True
U0704010,7,1997-01-10,2005-01-06,2008-03-18,2012-12-31,0.6550031,0.37352678,True
U0704010,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.724599,0.32376862,True
U0704010,30,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.7837126,0.27551666,True
U3404030,7,1997-01-07,2005-01-08,2008-03-19,2012-12-31,0.7014339,0.59379995,True
U3404030,15,1997-01-15,2005-01-12,2008-03-21,2012-12-31,0.7191454,0.507595,True
U3404030,30,1997-01-30,2005-01-19,2008-03-26,2012-12-31,0.7848092,0.4716435,True
V5064010,7,1997-01-07,2004-12-23,2008-03-22,2012-12-31,0.791749,1.1217256,True
V5064010,15,1997-01-15,2004-12-27,2008-03-24,2012-12-31,0.8604304,0.8691586,True
V5064010,30,1997-01-30,2005-01-03,2008-03-29,2012-12-31,0.89382005,0.7484024,True
Y5312010,7,1997-01-07,2004-12-05,2008-03-31,2012-12-31,0.46667725,0.42162514,True
Y5312010,15,1997-01-15,2004-12-09,2008-04-03,2012-12-31,0.46912086,0.4101977,True
Y5312010,30,1997-01-30,2004-12-16,2008-04-07,2012-12-31,0.54929674,0.35006997,True
