Lon,Lat,CODE,AREA_SQKM_,AREA_SQK_1,STOR_,NEI_F,DEV90_,DEV00_,DEV06_,DEV12_,DEV90,DEV00,DEV06,DEV12,Y2006,Y2009,Y2012,Y2015,lngth,yr_db,yr_fn,Q_DIS,Qm,Pm,ETPm,Arid
6.510817,48.38472,A7010610,6830.8,6830.861241478404,0.388423443366438,7.2635814889336,6.003981964045207,6.306435556596591,6.767142940797564,6.822626925103941,5.249751127247174,5.635796685600515,6.085085202318909,6.150377701001347,2.380614305211929,2.42626229473248,2.447190209850405,2.472098032665258,16.0,1997.0,2012.0,1.0,0.057539489095037,0.123478858263141,0.073567131580824,0.595787260548804
5.990638,47.794393,U0820010,5144.01,5143.94068168666,0.0,5.45777146912704,2.910180967766392,3.068617673760354,3.272738583323128,3.308702743579425,2.746106636651173,2.926899442263915,3.108664252207908,3.155903662706721,1.153999410420166,1.153007598897647,1.158971052321966,1.163327788170584,16.0,1997.0,2012.0,0.934441307323751,0.093537601931737,0.121216196459766,0.075983036732831,0.626838971993347
5.654407,48.509425,B3010010,3205.4,3205.4036841522975,0.0,5.626708317063647,2.921320272040931,3.081050726898359,3.25388407063081,3.313471017657703,2.472390341299058,2.609970674486803,2.785611780121046,2.81712110813003,1.115150702603052,1.126267050619131,1.140085353540585,1.152366390037403,16.0,1997.0,2012.0,0.89503479352042,0.043927528192478,0.106887557496593,0.073174272865332,0.68459112264125
6.218613,43.482287,Y5312010,2506.5,2506.547094916305,0.0,1.230476994512452,3.961699581089168,5.493317374825454,6.458408138839019,6.522641133054059,3.513664472371833,4.940355076800319,5.925792938360264,5.981248753241572,1.424457840458,1.441288464223734,1.503012347649159,1.504901478127306,16.0,1997.0,2012.0,0.9902535363906,0.02356311373257,0.094098039798823,0.094846356277093,1.007952522353162
-0.253468,43.9389,Q2593310,2471.98,2472.007273171547,0.711126739056935,0.718936085748313,1.420723468636478,1.720078641412957,2.013770337947718,2.177202080922985,1.346693743476889,1.599932038285099,1.889578394647206,2.059887215915986,0.662279344803013,0.692756347730519,0.728674285647712,0.74471569921314,16.0,1997.0,2012.0,0.999971480720967,0.023294433086464,0.10096733768945,0.090847853175622,0.899774664838195
-2.577079,48.052672,J8502310,2453.25,2453.248131554416,0.34001686264821,1.399915718499789,2.98135126872516,3.128503006216244,3.351880158972791,3.489248955467237,2.835422398858657,2.976867420768369,3.224294303474982,3.35554876184653,1.367975473486732,1.405761310967766,1.43998696910772,1.457227628752618,16.0,1997.0,2012.0,0.961741387177732,0.037017146857527,0.103731594055089,0.076243818061259,0.735010575367501
5.71969,48.34128,B2130010,2326.67,2326.6363929301087,0.0,6.032928263426108,2.750712391529525,2.959594613761298,3.133663132287776,3.189966776551896,2.36088486979245,2.543119565731281,2.701285528244229,2.727503255725995,1.031082279423319,1.039490292772712,1.04997958427568,1.060507221149143,16.0,1997.0,2012.0,0.999950091261693,0.035651174407367,0.10842744485861,0.073284538558065,0.675885514167262
4.222954,44.544015,V5064010,2261.12,2261.2010589241254,3.254248236094881,5.026014568158169,1.449724030568922,1.626627512029437,1.722597650721766,1.743826068497028,1.372328757429946,1.534637701669969,1.626627512029437,1.642991084064534,0.85501169294779,0.862070447799214,0.883797926049623,0.889806969067642,16.0,1997.0,2012.0,0.996627595254392,0.092192808565117,0.150120114030573,0.082561264409366,0.549968041247925
6.245675,47.496806,U1084010,2070.72,2070.710902078635,0.0,5.843672456575683,3.42972492659558,3.754249729562664,4.248280791222377,4.430343069077423,3.196472724462989,3.580880080358523,3.960941121928605,4.128998609179416,1.512995064686051,1.536165513958643,1.551289191162139,1.560925116863343,16.0,1997.0,2012.0,0.999971480720967,0.057559927693227,0.13631507570717,0.077367138732033,0.567561131127304
0.647085,48.993748,I0211010,1810.84,1810.9239716458626,0.0,3.304619826756497,2.677210576307128,2.943385390205651,3.289081310331117,3.358662278279693,2.596032780367123,2.841222857900201,3.1112632811292,3.168142961277639,0.953556326579657,0.95744671451846,0.964402055789396,0.972045443300572,16.0,1997.0,2012.0,0.843849817476614,0.02257517930628,0.087626984553238,0.073777046229751,0.841944366956226
4.327172,47.020035,K1321810,1792.48,1792.4396871289314,1.143050827866595,5.197613721103654,2.05860037489958,2.083147371239846,2.12443095599393,2.127220387396233,1.800856913326788,1.820382933142908,1.849393019726859,1.852182451129162,0.646957771818437,0.651984877843801,0.675888569498564,0.681094649157005,16.0,1997.0,2012.0,0.982603239790098,0.041206269144943,0.11194976927878,0.07577928480778,0.676904335323255
4.026849,47.599637,H2342030,1352.17,1352.059456691096,0.0,3.911071587372165,1.39775324108655,1.644763602209781,1.933928426159433,1.951677673665294,1.25428015708084,1.475406198924691,1.761612814956699,1.778622510483149,0.768698998059548,0.776383292886303,0.787260058086334,0.790873516814831,16.0,1997.0,2012.0,0.947182295231577,0.027706316706831,0.095287312835905,0.077941663322781,0.817964750350729
1.236452,48.262179,M1041610,1079.94,1079.9745385814633,0.0,2.718990120746433,1.688056743893179,1.852880715595311,1.993629275700502,2.009370890975425,1.559345889586458,1.672315128618256,1.767690797636906,1.802877937663204,0.697075535186431,0.69849445192813,0.71559081878614,0.718269759269438,16.0,1997.0,2012.0,1.0,0.01139522246932,0.077073234185641,0.076979622304928,0.998785422327426
2.70704,44.352549,O5192520,1058.17,1058.1268665833031,0.0,5.546457814168742,2.412655811448066,3.043934339472864,3.339728021017417,3.446516155249157,2.171673738624229,2.804842322122154,2.997627980381224,3.094020809510759,1.337483669321914,1.391154140431735,1.404744137588987,1.414596980034234,16.0,1997.0,2012.0,0.999985740360484,0.034408851567817,0.105864690107345,0.079004151216347,0.746274801503162
