BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
J3323020,15,1997-01-15,2005-01-10,2008-03-21,2012-12-31,0.8049936,0.37777185,0.41978902,0.4932764,0.6023015,0.5205689,True,132,MAE,58.06461000442505,Nicolas
J3323020,30,1997-01-30,2005-01-18,2008-03-25,2012-12-31,0.9325769,0.21971557,0.6519486,0.3982928,0.73214155,0.40595928,True,134,MAE,95.75890564918518,Nicolas
J8632410,7,1997-01-07,2004-12-24,2008-03-27,2012-12-31,0.7977152,0.39929667,0.51543653,0.43641278,0.12533516,0.39953116,True,159,MAE,46.71122646331787,Nicolas
J8632410,15,1997-01-15,2004-12-28,2008-03-29,2012-12-31,0.92674536,0.23688884,0.64272773,0.35397023,0.17788327,0.3688616,True,176,MAE,76.22852754592896,Nicolas
J8632410,30,1997-01-30,2005-01-04,2008-04-03,2012-12-31,0.9594113,0.1661957,0.81103075,0.27794042,0.73832923,0.25141597,True,173,MAE,120.0611503124237,Nicolas
K1753110,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.79021835,0.37266567,0.6524831,0.50231504,0.7402247,0.4455221,True,180,MAE,50.31484770774841,Nicolas
K1753110,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.9474956,0.20824896,0.74030143,0.42096505,0.79509956,0.36624062,True,209,MAE,87.31869554519653,Nicolas
K1753110,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.9629101,0.15720196,0.8400548,0.3309631,0.8630275,0.27759486,True,177,MAE,106.43766355514526,Nicolas
K3553010,7,1997-01-09,2005-11-16,2008-09-22,2012-12-31,0.72721446,0.1984244,-0.12612998,0.32572445,-0.7163708,0.30839968,True,153,MAE,33.46317148208618,Nicolas
K3553010,15,1997-01-15,2005-11-19,2008-09-24,2012-12-31,0.9359858,0.13337931,0.12444317,0.29597902,-0.30620587,0.2719233,True,199,MAE,64.78411078453064,Nicolas
K3553010,30,1997-01-30,2005-11-26,2008-09-29,2012-12-31,0.9511491,0.0896106,0.22816086,0.25931704,0.24126267,0.20020811,True,180,MAE,96.01543521881104,Nicolas
L0813010,7,1997-01-07,2004-12-25,2008-03-03,2012-12-31,0.6769904,0.47965258,0.5108597,0.54932857,0.39444697,0.4904308,True,143,MAE,34.26473593711853,Nicolas
L0813010,15,1997-01-15,2004-12-29,2008-03-05,2012-12-31,0.86601764,0.3167982,0.6413278,0.47122264,0.59345233,0.40410417,True,122,MAE,44.97798371315002,Nicolas
L0813010,30,1997-01-30,2005-01-05,2008-03-10,2012-12-31,0.95030355,0.16853325,0.73886955,0.37991625,0.6432222,0.33916166,True,167,MAE,99.07717275619508,Nicolas
M0416010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.6690116,0.16309625,0.079319894,0.17711948,-0.092811584,0.20501988,True,130,MAE,30.040392637252808,Nicolas
M0416010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.7851474,0.13162017,0.225936,0.17269538,-0.15265226,0.20797639,True,124,MAE,44.69262385368347,Nicolas
M0416010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8543037,0.11703906,0.0084706545,0.19773974,-0.2036624,0.22284715,True,136,MAE,81.56866645812988,Nicolas
M1254010,7,1997-01-11,2004-12-29,2008-03-08,2012-12-31,0.7366451,0.21028149,0.18893355,0.20214035,-0.08029568,0.2529945,True,116,MAE,26.81438708305359,Nicolas
M1254010,15,1997-01-15,2004-12-31,2008-03-09,2012-12-31,0.8021567,0.17992501,0.024436235,0.22591108,-0.3298242,0.2788288,True,113,MAE,39.42442846298218,Nicolas
M1254010,30,1997-01-30,2005-01-08,2008-03-13,2012-12-31,0.8912766,0.114996046,0.30907416,0.20313476,0.105012596,0.23684287,True,120,MAE,70.31211137771606,Nicolas
N2024010,7,1997-01-07,2005-02-08,2008-03-31,2012-12-31,0.74769354,0.38908896,0.49984944,0.47168157,0.4628451,0.44323024,True,162,MAE,37.22528076171875,Nicolas
N2024010,15,1997-01-15,2005-02-12,2008-04-02,2012-12-31,0.9090005,0.23142417,0.46610588,0.42638218,0.42937535,0.4139091,True,180,MAE,61.90036416053772,Nicolas
N2024010,30,1997-01-30,2005-02-20,2008-04-06,2012-12-31,0.88926023,0.18720968,0.47803885,0.37987137,0.66013765,0.28277007,True,140,MAE,78.90329122543335,Nicolas
O5424010,7,1997-01-07,2005-01-03,2008-03-17,2012-12-31,0.63590944,0.39092118,0.36420035,0.4198064,0.4380384,0.47922796,True,194,MAE,44.50238752365112,Nicolas
O5424010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.7554272,0.26613623,0.44951802,0.37312502,0.42628318,0.45651415,True,158,MAE,56.48079538345337,Nicolas
O5424010,30,1997-01-30,2005-01-14,2008-03-24,2012-12-31,0.8122712,0.177595,0.49767768,0.3700523,0.4856636,0.40709183,True,158,MAE,91.00440740585329,Nicolas
Q0214010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7156991,0.39379,0.5256225,0.43118003,0.63887393,0.50041395,True,243,MAE,56.39587712287903,Nicolas
Q0214010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.7013005,0.33182704,0.60891443,0.39685664,0.6776258,0.46313047,True,178,MAE,64.3988983631134,Nicolas
Q0214010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8427774,0.17819762,0.6799735,0.34650305,0.76360667,0.36344978,True,239,MAE,136.98732495307922,Nicolas
S1205110,7,1997-01-07,2004-07-31,2007-08-11,2012-12-31,0.5082754,0.19430523,-0.22189975,0.19040057,-0.9277874,0.19114263,True,101,MAE,21.849756002426147,Nicolas
S1205110,15,1997-01-15,2004-08-04,2007-08-14,2012-12-31,0.9079089,0.09610416,-0.079048514,0.16972086,-1.6348145,0.19662403,True,188,MAE,61.63706183433533,Nicolas
S1205110,30,1997-01-30,2004-08-12,2007-08-18,2012-12-31,0.91414523,0.08389613,0.43328404,0.13208748,-1.017389,0.17170623,True,144,MAE,78.25661087036133,Nicolas
U0474010,7,1997-01-07,2005-01-02,2008-03-15,2012-12-31,0.8059213,0.5742536,0.63971114,0.7385811,0.74462295,0.58453035,True,146,MAE,34.057050943374634,Nicolas
U0474010,15,1997-01-15,2005-01-06,2008-03-18,2012-12-31,0.9371972,0.30106205,0.7603704,0.5925906,0.7826352,0.53647363,True,228,MAE,79.57477068901062,Nicolas
U0474010,30,1997-01-30,2005-01-14,2008-03-22,2012-12-31,0.9555781,0.23350993,0.83465314,0.47854587,0.8223239,0.44702998,True,193,MAE,111.63429069519044,Nicolas
U1415040,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.55172354,0.2383274,0.2705328,0.29727426,0.6069564,0.24981415,True,101,MAE,23.788036346435547,Nicolas
U1415040,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.8614462,0.14279118,0.18652636,0.3046336,0.49276894,0.24353252,True,125,MAE,43.57342004776001,Nicolas
U1415040,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.95130265,0.087797,0.54125196,0.23980078,0.7813854,0.18871638,True,158,MAE,90.32254004478456,Nicolas
V4034020,7,1997-01-07,2005-01-01,2008-03-13,2012-12-31,0.67791927,0.26419824,-0.076268315,0.2310594,0.45859855,0.3054712,True,130,MAE,29.70800828933716,Nicolas
V4034020,15,1997-01-15,2005-01-05,2008-03-16,2012-12-31,0.7594856,0.20762563,0.33667505,0.214091,0.5777569,0.27016845,True,121,MAE,43.43159556388855,Nicolas
V4034020,30,1997-01-30,2005-01-13,2008-03-20,2012-12-31,0.8520844,0.13347,0.28353053,0.20000142,0.48665923,0.27140638,True,145,MAE,83.03731870651245,Nicolas
Y4515420,7,1997-01-07,2004-05-26,2008-02-21,2012-12-31,0.6937101,0.057735246,0.53672975,0.04534874,0.3862564,0.269921,True,295,MAE,61.0281240940094,Nicolas
Y4515420,15,1997-01-15,2004-05-30,2008-02-23,2012-12-31,0.5255642,0.045063302,0.5594461,0.05391383,0.3432694,0.26317367,True,205,MAE,63.51781916618347,Nicolas
Y4515420,30,1997-01-30,2004-06-06,2008-02-28,2012-12-31,0.75391424,0.024920372,0.66519654,0.04779346,0.34724158,0.25986895,True,326,MAE,172.1975884437561,Nicolas
