BV,mean_precip,min_precip,max_precip,mean_ETP,min_ETP,max_ETP,mean_flow_mm,min_flow_mm,max_flow_mm,mean_precipitation,min_precipitation,max_precipitation,mean_evapotranspiration,min_evapotranspiration,max_evapotranspiration
S4214010,,,,,,,1.100805498281787,0.53,5.517,3.3079839151266257,0.0,65.199,2.1853969883641344,0.0,5.966
U0020010,,,,,,,1.0655496405340636,0.105,34.452,2.8380833333333335,0.0,82.372,1.7716687200547572,0.0,5.312
U0444310,,,,,,,2.070412561576355,0.174,32.338,3.707996577686516,0.0,77.689,1.7572231348391512,0.0,5.417
U0474010,,,,,,,1.7928550402190655,0.097,19.971,3.5660331964407943,0.0,75.552,1.7919827173169063,0.0,5.425
U0704010,,,,,,,0.8391035665294925,0.0,18.06,2.6169454140999315,0.0,55.701,1.8088530116358659,0.0,5.506
U0820010,,,,,,,2.245000366300366,1.747,12.23,2.9091858316221764,0.0,57.835,1.8235901779603012,0.0,5.397
U1084010,,,,,,,1.3815144617491015,0.035,15.158,3.2715607460643397,0.0,63.314,1.8568117727583848,0.0,5.396
U1415040,,,,,,,0.5309770626497774,0.02,8.044,2.1562522245037647,0.0,78.604,1.9340179671457904,0.0,5.558
U3404030,,,,,,,1.4739358710562411,0.009,29.503,3.967527891854894,0.0,98.675,1.7349791238877483,0.0,5.534
U3415030,,,,,,,0.9953320205479451,0.006,20.52,2.901309890485969,0.0,67.946,1.9877775496235455,0.0,5.853
V3225420,,,,,,,0.7623614540466391,0.46,17.569,2.4200412388774812,0.0,87.013,2.0546629021218346,0.0,5.752
V4034020,,,,,,,0.5008496485513458,0.001,19.305,2.7095633127994523,0.0,104.019,2.014186173853525,0.0,5.47
V5064010,,,,,,,2.213228100309172,0.073,96.082,3.6028807323750858,0.0,174.243,1.981477926078029,0.0,5.274
W3534020,,,,,,,0.625457671495898,0.095,28.618,2.5249089664613282,0.0,162.731,2.0148064681724844,0.0,5.607
Y0655010,,,,,,,0.44560667199360765,0.001,100.339,1.9363692676249145,0.0,204.864,2.207855920602327,0.0,5.878
Y4515420,,,,,,,0.15982172596517788,0.0,27.073,1.9165424366872008,0.0,89.186,2.267968856947297,0.059,5.703
Y5312010,,,,,,,0.5655933287245074,0.073,40.671,2.2583518138261467,0.0,181.112,2.276317077344285,0.056,5.538
